site,habitat,author,year,n,Acanthocephalus clavula,Acanthocephalus lucii,Pomphorhynchus laevis sensu lato,Diphyllobothrium dendriticum,Diphyllobothrium ditrenum,Diphyllobothrium sp,Eubothrium crassum,Crepidostomum farionis,Crepidostomum metoecus,Crepidostomum sp,Diplostomum spathaceum,Diplostomum gasterostei,Diplostomum sp,Phyllodistomum conostomum,Sphaerostoma bramae,Tetracotyle sp,Anisakis sp,Camallanus lacustris,Capillariidae sp,Cucullanus truttae,Cystidicola farionis,Hysterothylacium aduncum,Raphidascaris acus,Rhabdochona sp,Salmonema ephemeridarum,Discocotyle sagittata,Diplozooan paradoxum
Bunaveela,Lake,Molloy 1993,1989,36,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Bunaveela,Lake,Molloy 1995,1991,285,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bunaveela,Lake,Maguire 2018,2009,36,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Feeagh,Lake,Molloy 1995,1991,264,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Feeagh,Lake,Byrne 2002,1997,217,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
Feeagh,Lake,Maguire 2018,2016,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craghy,Lake,Byrne 2000,1997,40,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Waskel,Lake,Byrne 2000,1997,32,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
Meela,Lake,Byrne 2000,1997,45,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Owennamarve,Lake,Byrne 2000,1997,23,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
Clogher,Lake,Byrne 2004,1997,161,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Dunlewy,Lake,Mc Carthy and Mc Carthy 2004,2001,64,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Atorick,Lake,Faherty and McCarthy 2006,1993,40,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Lough Corrib (southern/lower basin),Lake,Conneely and McCarthy 1988,1982,133,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0
Corrib,Lake,Conneely and McCarthy 1984,NA,26,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0
Shournagh,River,Fitzgerald and Mulcahy 1981,1980,242,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Burishoole SLDT,River,Maguire 2018,2015,15,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Blackwater,River,Tierney et al.,2015,137,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1
Barrow,River,Tierney et al.,2015,112,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0
R. Abbert (Corrib system),River,Conneely and McCarthy 1988,1981,139,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0
R. Drimneen (Corrib),River,Conneely and McCarthy 1988,1981,62,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0
